,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
9878820107_R04C01,0.0,0.0,-0.551923076923077,0.0,-0.2603550295857988,-0.6442641946697567,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.13636363636363635,0.0,0.0,-0.8023369036027264,0.0,-0.012942191544434857,0.0,0.0,0.0,0.0,0.0,0.0,-0.027455121436114043,-0.9666110183639399,-0.011747430249632892,-0.6727272727272727,0.0,-0.053475935828877004,-0.08073817762399077,0.011363636363636364,-0.5242718446601942,0.0,-0.011688311688311689,0.0,0.0,-0.16544117647058823,0.0
9878827225_R04C02,0.0,0.0,-0.013461538461538462,0.0,0.0,0.0,0.0,0.0,-0.027218934911242602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055511498810467885,0.013805004314063849,-0.09375,0.6673960612691466,0.0,0.0,-0.01773049645390071,0.0,-0.18690601900739176,0.0,0.0,0.0,0.0,0.0,0.0,-0.009943181818181818,0.0,-0.0234375,0.5272727272727272,0.0,0.0,0.0,0.0
9533774084_R06C02,0.0,0.0,-0.03653846153846154,0.46321243523316064,-1.0,-1.0,0.0,0.0,-0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025884383088869713,0.0,0.0,0.0,-0.5898305084745763,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9370847061_R03C01,0.0,0.0,0.0,0.012435233160621761,0.8106508875739645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6456852791878173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012687427912341407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9769100024_R04C01,-1.0,-1.0,-0.9769230769230769,1.0,0.0,0.0,-1.0,-0.930870083432658,0.027218934911242602,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,-0.6815968841285297,0.0,0.0,0.0,0.0,-1.0,-0.9593220338983051,0.0,0.0,0.0,0.0,0.4566813509544787,0.0,-0.39178515007898895,0.0,-0.6447520184544406,-0.009943181818181818,0.0,0.0,0.0,0.0,0.0,0.25735294117647056,0.0
9769100024_R06C01,0.0,-0.019230769230769232,-0.021153846153846155,-0.05181347150259067,0.0,-0.015063731170336037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018500486854917234,0.0,0.0,0.0,0.0,-1.0,-0.11186440677966102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08304498269896193,0.0,0.0,0.0,0.7753246753246753,0.0,0.3231357552581262,0.0,0.0
8622007091_R02C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700105596620908,-0.0651085141903172,-0.5154185022026432,0.0,-0.3696682464454976,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,-0.09009009009009009,0.0,0.0,0.0
9741950087_R03C02,0.0,0.03296703296703297,0.0,0.0,0.636094674556213,0.0,0.0,0.0,0.0,0.014652014652014652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1700105596620908,0.0,-0.6240822320117474,0.007272727272727273,0.0,0.0,0.0,0.017045454545454544,-0.13980582524271845,0.0,0.8064935064935065,0.0,0.0,0.0,0.0
9969477079_R04C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22765196662693682,-0.03905325443786982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9090909090909091,0.0,-0.009943181818181818,0.0,0.0,0.4857142857142857,0.0,0.0,0.0,0.0
9969477108_R02C02,0.0,0.0,-0.551923076923077,0.0,0.9881656804733728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013805004314063849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.986644407345576,-0.6064610866372981,0.0,0.0,0.0,0.0,-0.01278409090909091,-0.2174757281553398,0.0,0.0,-0.04504504504504504,0.0,-0.8823529411764706,0.0
