,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-02-0003,-1.0,-0.9945054945054945,-0.0057692307692307696,0.017616580310880828,-0.014792899408284023,0.039397450753186555,0.0,-0.00834326579261025,-1.0,-0.007326007326007326,0.002352941176470588,0.0,0.5197969543147208,0.0,0.0,0.0,0.0,0.003965107057890563,0.009490940465918895,0.004464285714285714,0.024070021881838075,0.0,0.0,0.0035460992907801418,0.0,0.004223864836325237,0.04674457429048414,0.005873715124816446,-0.007272727272727273,0.00631911532385466,0.0,0.006920415224913495,0.0,-0.6019417475728155,0.5703125,1.0,-0.09309309309309309,0.0076481835564053535,0.0,0.0013908205841446453
TCGA-02-0033,-0.9908675799086758,-1.0,-0.3384615384615385,-0.3243523316062176,0.0,0.0,-1.0,-0.07628128724672228,0.01893491124260355,-0.01098901098901099,0.002352941176470588,-0.9755501222493888,-0.9756345177664975,0.0,0.0,-0.002932551319648094,-0.0019474196689386564,0.0015860428231562252,0.01898188093183779,0.004464285714285714,0.0,0.0,0.0,0.0035460992907801418,-0.001736111111111111,0.0021119324181626186,0.0,0.004405286343612335,-0.0036363636363636364,0.00631911532385466,0.0106951871657754,0.0057670126874279125,0.002840909090909091,0.0,1.0,0.9987012987012988,0.06006006006006006,0.0,-0.04044117647058824,-0.01808066759388039
TCGA-02-0047,0.0,0.0013736263736263737,-0.9942307692307693,0.0010362694300518134,-0.0029585798816568047,0.0,0.0,-1.0,-0.9514792899408284,-0.056776556776556776,-0.002352941176470588,-0.017114914425427872,0.4182741116751269,0.0,0.0,0.0,-0.042843232716650435,-0.006344171292624901,-0.0025884383088869713,0.004464285714285714,0.0,-1.0,-0.5457627118644067,-0.07801418439716312,0.0,-0.0021119324181626186,0.0,0.9574155653450808,-0.0036363636363636364,-0.011058451816745656,-0.0106951871657754,-0.0011534025374855825,0.0,-0.001941747572815534,0.0026041666666666665,0.014285714285714285,0.05105105105105105,0.0,-0.11764705882352941,-0.02086230876216968
TCGA-02-0055,-0.9908675799086758,-0.9862637362637363,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9809296781883194,0.9408284023668639,-0.989010989010989,-0.9952941176470588,-1.0,-0.9959390862944163,0.0,0.0,-0.5747800586510264,-1.0,0.9873116574147502,0.7299396031061259,1.0,0.9912472647702407,-1.0,0.9796610169491525,0.7695035460992907,-0.001736111111111111,-0.0031678986272439284,-0.11853088480801335,-1.0,1.0,1.0,0.21390374331550802,-0.3044982698961938,0.40767045454545453,0.005825242718446602,1.0,0.9896103896103896,0.8198198198198198,1.0,-0.007352941176470588,0.0013908205841446453
TCGA-02-2470,-0.0228310502283105,0.0,0.011538461538461539,0.01865284974093264,-0.005917159763313609,-0.0011587485515643105,0.0,0.027413587604290822,-0.591715976331361,-0.009157509157509158,-0.7105882352941176,0.009779951100244499,0.0010152284263959391,-0.9886363636363636,0.011764705882352941,-0.001466275659824047,0.03700097370983447,0.012688342585249802,0.0181190681622088,0.004464285714285714,0.0,0.4444444444444444,-0.006779661016949152,0.0070921985815602835,-0.001736111111111111,-0.0010559662090813093,0.03005008347245409,-0.010279001468428781,0.0,0.020537124802527645,-0.0053475935828877,-0.0011534025374855825,-0.0014204545454545455,0.005825242718446602,1.0,0.9974025974025974,0.07807807807807808,-0.0019120458891013384,-0.13970588235294118,-0.9735744089012517
TCGA-02-2483,-0.8949771689497716,-0.9354395604395604,-0.5307692307692308,0.10569948186528498,0.023668639053254437,0.0011587485515643105,-0.7410926365795725,-0.41835518474374256,-0.4260355029585799,-0.016483516483516484,0.002352941176470588,0.014669926650366748,-0.049746192893401014,0.9772727272727273,1.0,0.6994134897360704,0.7867575462512172,-0.29976209357652656,0.8912855910267472,0.6785714285714286,-0.0087527352297593,-0.4444444444444444,0.003389830508474576,-0.75,0.0,0.007391763463569166,-0.4941569282136895,0.011747430249632892,-0.49454545454545457,-0.8957345971563981,-0.9893048128342246,-0.9976931949250288,0.13068181818181818,-0.8388349514563107,0.018229166666666668,0.08961038961038961,0.19519519519519518,1.0,-0.15073529411764705,0.6063977746870653
TCGA-02-2485,-1.0,-1.0,0.007692307692307693,0.03005181347150259,-0.005917159763313609,0.03707995365005794,-0.0023752969121140144,0.01907032181168057,-0.002366863905325444,0.01098901098901099,0.007058823529411765,0.0,0.016243654822335026,0.011363636363636364,0.00392156862745098,1.0,0.9961051606621227,0.006344171292624901,-0.0362381363244176,-0.004464285714285714,0.0,0.0,0.0,0.0035460992907801418,0.003472222222222222,-0.0021119324181626186,-0.005008347245409015,0.007342143906020558,-0.9127272727272727,-0.933649289099526,-0.0053475935828877,-0.0011534025374855825,-0.002840909090909091,0.0,1.0,0.9974025974025974,0.003003003003003003,-0.0019120458891013384,0.08088235294117647,0.02086230876216968
TCGA-02-2486,-0.9908675799086758,-1.0,-0.0019230769230769232,0.007253886010362694,-0.0029585798816568047,0.02433371958285052,0.0,-0.26817640047675806,-0.005917159763313609,-1.0,-1.0,-0.012224938875305624,0.0,0.0,0.0,0.007331378299120235,0.0009737098344693282,-0.013481363996827915,0.010353753235547885,0.004464285714285714,0.0,0.0,-0.003389830508474576,-0.9875886524822695,0.005208333333333333,0.0031678986272439284,-0.9382303839732888,0.005873715124816446,0.014545454545454545,-0.001579778830963665,0.0,0.00461361014994233,0.008522727272727272,0.017475728155339806,1.0,0.9922077922077922,-0.987987987987988,-0.18929254302103252,-0.27941176470588236,0.0013908205841446453
TCGA-06-0119,-0.9908675799086758,-1.0,0.0038461538461538464,0.0031088082901554403,0.0,0.0,0.0,0.0,-0.493491124260355,0.0,0.05176470588235294,0.0,-0.0010152284263959391,-0.022727272727272728,0.0,1.0,1.0,0.0,-0.0008628127696289905,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010279001468428781,0.0,-0.011058451816745656,0.0,-0.0011534025374855825,0.002840909090909091,0.0,1.0,0.987012987012987,0.0,0.0,-0.17647058823529413,0.0
TCGA-06-0122,-1.0,-1.0,0.0,0.0031088082901554403,0.005917159763313609,0.0,-1.0,-0.010727056019070322,-0.011834319526627219,0.0,0.0,0.012224938875305624,0.0020304568527918783,0.0,0.0,1.0,1.0,-0.07454401268834258,0.0,1.0,1.0,0.0,0.0,-0.028368794326241134,0.0,0.0,-0.00333889816360601,-0.004405286343612335,-0.01090909090909091,0.00315955766192733,-0.0053475935828877,-0.008073817762399077,0.0,-0.42718446601941745,0.8255208333333334,0.12337662337662338,0.3633633633633634,-0.0019120458891013384,-1.0,0.36439499304589706
