,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
glioma_mskcc_2019_563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11918951132300358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8123167155425219,-1.0,-0.9968279143536876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7745454545454545,-0.9399684044233807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
glioma_mskcc_2019_33,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11600587371512482,-0.9490909090909091,0.06951026856240126,0.0,0.0011534025374855825,0.0,-0.8174757281553398,1.0,1.0,0.0,0.0,-0.40441176470588236,0.0
glioma_mskcc_2019_477,-1.0,-1.0,-0.09230769230769231,0.10466321243523316,-1.0,-0.93279258400927,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.12903225806451613,-0.8880233690360273,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.31272727272727274,0.01579778830963665,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0
glioma_mskcc_2019_34,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.3177664974619289,0.0,0.0,1.0,1.0,-0.43061062648691517,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.6985294117647058,-1.0
glioma_mskcc_2019_314,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0380650277557494,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.13803230543318648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-0.0019120458891013384,-1.0,-0.06397774687065369
glioma_mskcc_2019_53,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0970414201183432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.15808823529411764,0.0
glioma_mskcc_2019_621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.093841642228739,-1.0,-0.9968279143536876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_371,0.0,0.0,0.0,0.0,0.0,0.2421784472769409,0.0,0.0,-0.10414201183431952,0.0,0.0,-0.9951100244498777,-0.9005076142131979,0.0,-0.0392156862745098,0.5982404692082112,0.2103213242453749,-0.07454401268834258,0.0,0.0,-0.1925601750547046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.7769886363636364,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_29,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.2395326192794547,0.5892149088025377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058823529411764705,0.0392156862745098,0.10653409090909091,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0
glioma_mskcc_2019_4,-1.0,-1.0,-1.0,-0.9958549222797928,-1.0,-1.0,-1.0,-1.0,0.0,-0.5824175824175825,-1.0,0.1198044009779951,0.4294416243654822,0.0,0.0,-0.9310850439882697,-1.0,-0.9429024583663759,-1.0,0.0,-0.4989059080962801,0.0,0.0,-1.0,0.0,-0.025343189017951427,0.001669449081803005,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.9921875,0.024675324675324677,-1.0,-1.0,-1.0,-0.9360222531293463
